'2018/05/03 14:00:07 +0900', 25.7, 45, 1004, 48.7, 50.62, 24.17, 49.348
'2018/05/03 14:30:29 +0900', 25.7, 45, 1004, 48.7, 38.12, 20.19, 57.636
'2018/05/03 15:00:55 +0900', 25.7, 44, 1004, 49.2, 49.02, 21.64, 65.683
'2018/05/03 15:30:13 +0900', 25.7, 44, 1004, 49.2, 51.56, 25.22, 48.617
'2018/05/03 16:00:39 +0900', 25.7, 44, 1004, 48.7, 48.01, 23.39, 57.471
'2018/05/03 17:00:22 +0900', 25.6, 43, 1004, 49.2, 45.39, 21.52, 48.55
'2018/05/03 17:30:45 +0900', 25.6, 43, 1004, 48.7, 40.36, 17.48, 52.024
'2018/05/03 18:00:24 +0900', 25.6, 43, 1005, 50.8, 40.81, 19.64, 49.391
'2018/05/03 18:30:07 +0900', 25.6, 44, 1005, 49.2, 41.90, 22.75, 57.493
'2018/05/03 19:00:32 +0900', 25.5, 44, 1005, 49.2, 51.30, 24.31, 50.014
'2018/05/03 19:30:58 +0900', 25.5, 44, 1006, 48.7, 51.46, 24.08, 53.232
'2018/05/03 20:00:14 +0900', 25.5, 44, 1006, 48.7, 41.08, 25.07, 50.492
'2018/05/03 20:30:29 +0900', 25.5, 44, 1006, 48.7, 41.08, 25.07, 50.492
'2018/05/03 21:00:52 +0900', 25.4, 44, 1006, 48.7, 43.57, 21.34, 51.259
'2018/05/03 21:30:11 +0900', 25.4, 44, 1006, 49.2, 48.98, 24.28, 54.694
'2018/05/03 22:00:37 +0900', 25.4, 44, 1006, 48.7, 40.52, 24.07, 50.121
'2018/05/03 23:00:16 +0900', 26.1, 39, 1006, 49.8, 43.29, 22.05, 47.673
'2018/05/03 23:30:31 +0900', 26.3, 39, 1006, 49.8, 43.29, 22.05, 47.673
'2018/05/04 00:00:52 +0900', 26.4, 38, 1006, 50.3, 39.56, 19.95, 51.166
'2018/05/04 00:30:09 +0900', 26.5, 38, 1006, 49.8, 42.78, 25.01, 49.432
'2018/05/04 01:00:33 +0900', 26.5, 37, 1006, 49.8, 41.94, 24.96, 48.225
'2018/05/04 01:30:55 +0900', 26.6, 37, 1006, 50.3, 39.73, 19.11, 48.136
'2018/05/04 02:00:13 +0900', 26.5, 37, 1007, 49.8, 52.10, 24.31, 55.185
'2018/05/04 02:30:38 +0900', 26.1, 37, 1007, 49.8, 51.58, 24.35, 50.553
'2018/05/04 03:30:20 +0900', 25.5, 38, 1008, 49.2, 42.71, 23.71, 49.117
'2018/05/04 04:00:34 +0900', 25.4, 38, 1008, 48.7, 42.71, 23.71, 49.117
'2018/05/04 05:00:19 +0900', 25.3, 39, 1009, 48.7, 48.79, 23.40, 55.311
'2018/05/04 05:30:33 +0900', 25.3, 39, 1009, 48.7, 48.79, 23.40, 55.311
'2018/05/04 06:00:59 +0900', 25.2, 39, 1010, 48.7, 42.04, 25.21, 48.838
'2018/05/04 06:30:22 +0900', 25.2, 39, 1010, 48.7, 29.23, 12.22, 59.719
'2018/05/04 07:00:43 +0900', 25.2, 39, 1011, 48.7, 40.15, 17.87, 50.449
'2018/05/04 07:30:05 +0900', 25.2, 39, 1011, 48.7, 42.43, 23.12, 52.086
'2018/05/04 08:00:32 +0900', 25.1, 38, 1012, 48.7, 44.06, 24.90, 47.299
'2018/05/04 08:30:54 +0900', 25.1, 38, 1012, 48.7, 44.17, 18.37, 50.111
'2018/05/04 09:00:08 +0900', 25.1, 38, 1012, 48.7, 43.10, 19.72, 49.779
'2018/05/04 09:30:32 +0900', 25.1, 38, 1012, 48.7, 41.35, 24.79, 51.293
'2018/05/04 10:00:57 +0900', 25.1, 39, 1012, 48.7, 50.68, 24.02, 49.029
